"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"158","2014-05-01 00:08:32","2014-05-01 00:11:10","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","428","E 3 St & 1 Ave","40.72467721","-73.98783413","20997","Subscriber","1961","1"
"611","2014-05-01 07:41:29","2014-05-01 07:51:40","515","W 43 St & 10 Ave","40.76009437","-73.99461843","459","W 20 St & 11 Ave","40.746745","-74.007756","20298","Subscriber","1978","1"
"757","2014-05-01 08:27:18","2014-05-01 08:39:55","433","E 13 St & Avenue A","40.72955361","-73.98057249","358","Christopher St & Greenwich St","40.73291553","-74.00711384","18906","Subscriber","1980","2"
"1853","2014-05-01 08:58:11","2014-05-01 09:29:04","251","Mott St & Prince St","40.72317958","-73.99480012","435","W 21 St & 6 Ave","40.74173969","-73.99415556","16375","Subscriber","1985","2"
"699","2014-05-01 09:37:58","2014-05-01 09:49:37","307","Canal St & Rutgers St","40.71427487","-73.98990025","386","Centre St & Worth St","40.71494807","-74.00234482","20218","Subscriber","1983","1"
"532","2014-05-01 10:48:49","2014-05-01 10:57:41","521","8 Ave & W 31 St","40.75044999","-73.99481051","153","E 40 St & 5 Ave","40.752062307","-73.9816324043","18121","Subscriber","1969","1"
"503","2014-05-01 12:03:42","2014-05-01 12:12:05","498","Broadway & W 32 St","40.74854862","-73.98808416","318","E 43 St & Vanderbilt Ave","40.75320159","-73.9779874","19215","Subscriber","1977","2"
"276","2014-05-01 12:51:57","2014-05-01 12:56:33","402","Broadway & E 22 St","40.7403432","-73.98955109","472","E 32 St & Park Ave","40.7457121","-73.98194829","18096","Subscriber","1969","1"
"203","2014-05-01 13:38:38","2014-05-01 13:42:01","515","W 43 St & 10 Ave","40.76009437","-73.99461843","529","W 42 St & 8 Ave","40.7575699","-73.99098507","20658","Subscriber","1975","1"
"592","2014-05-01 14:20:51","2014-05-01 14:30:43","468","Broadway & W 55 St","40.7652654","-73.98192338","464","E 56 St & 3 Ave","40.75934501","-73.96759673","20775","Subscriber","1965","1"
"370","2014-05-01 15:02:21","2014-05-01 15:08:31","435","W 21 St & 6 Ave","40.74173969","-73.99415556","497","E 17 St & Broadway","40.73704984","-73.99009296","19987","Subscriber","1962","1"
"540","2014-05-01 15:40:18","2014-05-01 15:49:18","486","Broadway & W 29 St","40.7462009","-73.98855723","488","W 39 St & 9 Ave","40.75645824","-73.99372222","14984","Subscriber","1980","1"
"1750","2014-05-01 16:14:43","2014-05-01 16:43:53","242","Flushing Ave & Carlton Ave","40.69788349","-73.97350332","472","E 32 St & Park Ave","40.7457121","-73.98194829","17820","Customer",\N,"0"
"319","2014-05-01 16:45:33","2014-05-01 16:50:52","490","8 Ave & W 33 St","40.751551","-73.993934","477","W 41 St & 8 Ave","40.75640548","-73.9900262","18935","Subscriber","1961","2"
"1143","2014-05-01 17:09:11","2014-05-01 17:28:14","504","1 Ave & E 15 St","40.73221853","-73.98165557","464","E 56 St & 3 Ave","40.75934501","-73.96759673","16327","Subscriber","1970","2"
"658","2014-05-01 17:26:54","2014-05-01 17:37:52","293","Lafayette St & E 8 St","40.73028666","-73.9907647","470","W 20 St & 8 Ave","40.74345335","-74.00004031","20003","Subscriber","1956","1"
"448","2014-05-01 17:44:15","2014-05-01 17:51:43","442","W 27 St & 7 Ave","40.746647","-73.993915","491","E 24 St & Park Ave S","40.74096374","-73.98602213","15355","Subscriber","1979","1"
"424","2014-05-01 18:01:28","2014-05-01 18:08:32","540","Lexington Ave & E 26 St","40.74147286","-73.98320928","519","E 42 St & Vanderbilt Ave","40.752416","-73.97837","16874","Subscriber","1979","1"
"605","2014-05-01 18:16:46","2014-05-01 18:26:51","362","Broadway & W 37 St","40.75172632","-73.98753523","540","Lexington Ave & E 26 St","40.74147286","-73.98320928","15016","Subscriber","1991","2"
"1027","2014-05-01 18:32:17","2014-05-01 18:49:24","263","Elizabeth St & Hester St","40.71729","-73.996375","482","W 15 St & 7 Ave","40.73935542","-73.99931783","15136","Subscriber","1976","1"
"677","2014-05-01 18:49:48","2014-05-01 19:01:05","498","Broadway & W 32 St","40.74854862","-73.98808416","508","W 46 St & 11 Ave","40.76341379","-73.99667444","14925","Subscriber","1976","1"
"908","2014-05-01 19:09:40","2014-05-01 19:24:48","426","West St & Chambers St","40.71754834","-74.01322069","470","W 20 St & 8 Ave","40.74345335","-74.00004031","19543","Subscriber","1961","2"
"275","2014-05-01 19:32:46","2014-05-01 19:37:21","528","2 Ave & E 31 St","40.74290902","-73.97706058","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","17039","Subscriber","1988","1"
"480","2014-05-01 20:00:51","2014-05-01 20:08:51","390","Duffield St & Willoughby St","40.69221589","-73.9842844","416","Cumberland St & Lafayette Ave","40.68753406","-73.97265183","15357","Subscriber","1983","1"
"672","2014-05-01 20:36:22","2014-05-01 20:47:34","475","E 16 St & Irving Pl","40.73524276","-73.98758561","128","MacDougal St & Prince St","40.72710258","-74.00297088","21307","Subscriber","1984","1"
"1979","2014-05-01 21:23:47","2014-05-01 21:56:46","315","South St & Gouverneur Ln","40.70355377","-74.00670227","390","Duffield St & Willoughby St","40.69221589","-73.9842844","17596","Customer",\N,"0"
"1155","2014-05-01 22:31:34","2014-05-01 22:50:49","526","E 33 St & 5 Ave","40.74765947","-73.98490707","528","2 Ave & E 31 St","40.74290902","-73.97706058","20171","Subscriber","1958","2"
"360","2014-05-02 00:52:14","2014-05-02 00:58:14","346","Bank St & Hudson St","40.73652889","-74.00618026","348","W Broadway & Spring St","40.72490985","-74.00154702","15341","Subscriber","1963","1"
"718","2014-05-02 06:46:06","2014-05-02 06:58:04","459","W 20 St & 11 Ave","40.746745","-74.007756","328","Watts St & Greenwich St","40.72405549","-74.00965965","15026","Subscriber","1989","2"
"223","2014-05-02 07:38:11","2014-05-02 07:41:54","248","Laight St & Hudson St","40.72185379","-74.00771779","309","Murray St & West St","40.7149787","-74.013012","17767","Subscriber","1971","1"
"697","2014-05-02 08:08:46","2014-05-02 08:20:23","480","W 53 St & 10 Ave","40.76669671","-73.99061728","517","E 41 St & Madison Ave","40.752141","-73.979782","20264","Subscriber","1956","1"
