tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
1346,1/1/2015 0:01,1/1/2015 0:24,455,1 Ave & E 44 St,40.75001986,-73.96905301,265,Stanton St & Chrystie St,40.72229346,-73.99147535,18660,Subscriber,1960,2
406,1/1/2015 10:46,1/1/2015 10:52,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,16170,Subscriber,1970,1
632,1/1/2015 13:40,1/1/2015 13:50,168,W 18 St & 6 Ave,40.73971301,-73.99456405,528,2 Ave & E 31 St,40.74290902,-73.97706058,18878,Subscriber,1990,1
2518,1/1/2015 15:51,1/1/2015 16:33,322,Clinton St & Tillary St,40.696192,-73.991218,387,Centre St & Chambers St,40.71273266,-74.0046073,18214,Customer,,0
450,1/1/2015 17:55,1/1/2015 18:02,512,W 29 St & 9 Ave,40.7500727,-73.99839279,529,W 42 St & 8 Ave,40.7575699,-73.99098507,17703,Subscriber,1950,1
322,1/1/2015 21:56,1/1/2015 22:01,441,E 52 St & 2 Ave,40.756014,-73.967416,518,E 39 St & 2 Ave,40.74780373,-73.9734419,19839,Subscriber,1986,1
221,1/2/2015 7:35,1/2/2015 7:39,396,Lefferts Pl & Franklin Ave,40.68034242,-73.95576894,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,18909,Subscriber,1985,1
542,1/2/2015 9:07,1/2/2015 9:16,513,W 56 St & 10 Ave,40.768254,-73.988639,513,W 56 St & 10 Ave,40.768254,-73.988639,18481,Subscriber,1981,1
740,1/2/2015 10:53,1/2/2015 11:05,293,Lafayette St & E 8 St,40.73028666,-73.9907647,320,Leonard St & Church St,40.717571,-74.005549,21030,Subscriber,1980,1
407,1/2/2015 12:27,1/2/2015 12:34,293,Lafayette St & E 8 St,40.73028666,-73.9907647,404,9 Ave & W 14 St,40.7405826,-74.00550867,14953,Subscriber,1973,1
892,1/2/2015 13:42,1/2/2015 13:57,497,E 17 St & Broadway,40.73704984,-73.99009296,490,8 Ave & W 33 St,40.751551,-73.993934,18789,Subscriber,1961,1
229,1/2/2015 14:53,1/2/2015 14:57,274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,16869,Subscriber,1987,2
293,1/2/2015 15:59,1/2/2015 16:04,382,University Pl & E 14 St,40.73492695,-73.99200509,293,Lafayette St & E 8 St,40.73028666,-73.9907647,17716,Subscriber,1993,2
1115,1/2/2015 16:57,1/2/2015 17:16,463,9 Ave & W 16 St,40.74206539,-74.00443172,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,19227,Subscriber,1969,1
1374,1/2/2015 17:55,1/2/2015 18:18,478,11 Ave & W 41 St,40.76030096,-73.99884222,435,W 21 St & 6 Ave,40.74173969,-73.99415556,17880,Subscriber,1979,2
596,1/2/2015 19:13,1/2/2015 19:23,483,E 12 St & 3 Ave,40.73223272,-73.98889957,453,W 22 St & 8 Ave,40.74475148,-73.99915362,18089,Subscriber,1986,1
1348,1/2/2015 21:37,1/2/2015 21:59,497,E 17 St & Broadway,40.73704984,-73.99009296,116,W 17 St & 8 Ave,40.74177603,-74.00149746,19123,Subscriber,1983,1
402,1/3/2015 7:44,1/3/2015 7:51,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,509,9 Ave & W 22 St,40.7454973,-74.00197139,14904,Subscriber,1982,2
5194,1/3/2015 10:26,1/3/2015 11:52,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,173,Broadway & W 49 St,40.76064679,-73.98442659,16490,Customer,,0
104,1/3/2015 11:53,1/3/2015 11:54,147,Greenwich St & Warren St,40.71542197,-74.01121978,152,Warren St & Church St,40.71473993,-74.00910627,19986,Subscriber,1984,1
