"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"1027","10/1/2014 00:00:27","10/1/2014 00:17:34","479","9 Ave & W 45 St","40.76019252","-73.9912551","540","Lexington Ave & E 26 St","40.74147286","-73.98320928","21376","Subscriber","1977","1"
"897","10/1/2014 06:30:22","10/1/2014 06:45:19","270","Adelphi St & Myrtle Ave","40.69308257","-73.97178913","2002","Wythe Ave & Metropolitan Ave","40.716887","-73.963198","16414","Subscriber","1988","2"
"207","10/1/2014 07:21:24","10/1/2014 07:24:51","153","E 40 St & 5 Ave","40.752062307","-73.9816324043","160","E 37 St & Lexington Ave","40.748238","-73.978311","16498","Subscriber","1990","1"
"1050","10/1/2014 07:55:58","10/1/2014 08:13:28","346","Bank St & Hudson St","40.73652889","-74.00618026","531","Forsyth St & Broome St","40.71893904","-73.99266288","16299","Subscriber","1934","1"
"801","10/1/2014 08:22:35","10/1/2014 08:35:56","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","531","Forsyth St & Broome St","40.71893904","-73.99266288","18643","Subscriber","1977","1"
"375","10/1/2014 08:48:02","10/1/2014 08:54:17","468","Broadway & W 55 St","40.7652654","-73.98192338","464","E 56 St & 3 Ave","40.75934501","-73.96759673","15331","Subscriber","1984","1"
"1045","10/1/2014 09:13:36","10/1/2014 09:31:01","513","W 56 St & 10 Ave","40.768254","-73.988639","505","6 Ave & W 33 St","40.74901271","-73.98848395","16642","Subscriber","1977","2"
"304","10/1/2014 09:43:15","10/1/2014 09:48:19","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","252","MacDougal St & Washington Sq","40.73226398","-73.99852205","18207","Subscriber","1981","2"
"1448","10/1/2014 10:27:15","10/1/2014 10:51:23","530","11 Ave & W 59 St","40.771522","-73.990541","345","W 13 St & 6 Ave","40.73649403","-73.99704374","20518","Subscriber","1986","1"
"651","10/1/2014 11:24:23","10/1/2014 11:35:14","440","E 45 St & 3 Ave","40.75255434","-73.97282625","499","Broadway & W 60 St","40.76915505","-73.98191841","17508","Subscriber","1962","1"
"239","10/1/2014 12:40:51","10/1/2014 12:44:50","408","Market St & Cherry St","40.71076228","-73.99400398","295","Pike St & E Broadway","40.71406667","-73.99293911","16406","Subscriber","1988","1"
