"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"97","11/1/2014 00:00:11","11/1/2014 00:01:48","344","Monroe St & Bedford Ave","40.6851443","-73.95380904","344","Monroe St & Bedford Ave","40.6851443","-73.95380904","15742","Subscriber","1983","1"
"268","11/1/2014 08:23:13","11/1/2014 08:27:41","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","382","University Pl & E 14 St","40.73492695","-73.99200509","20984","Subscriber","1984","1"
"272","11/1/2014 12:36:16","11/1/2014 12:40:48","472","E 32 St & Park Ave","40.7457121","-73.98194829","440","E 45 St & 3 Ave","40.75255434","-73.97282625","17542","Subscriber","1976","1"
"403","11/1/2014 15:37:42","11/1/2014 15:44:25","434","9 Ave & W 18 St","40.74317449","-74.00366443","435","W 21 St & 6 Ave","40.74173969","-73.99415556","15239","Subscriber","1968","2"
"422","11/1/2014 17:34:36","11/1/2014 17:41:38","472","E 32 St & Park Ave","40.7457121","-73.98194829","519","Pershing Square North","40.751873","-73.977706","16444","Subscriber","1984","1"
"763","11/1/2014 19:22:11","11/1/2014 19:34:54","511","E 14 St & Avenue B","40.72938685","-73.97772429","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","20356","Subscriber","1974","1"
"401","11/2/2014 00:04:25","11/2/2014 00:11:06","447","8 Ave & W 52 St","40.76370739","-73.9851615","488","W 39 St & 9 Ave","40.75645824","-73.99372222","20749","Subscriber","1984","1"
"474","11/2/2014 08:44:10","11/2/2014 08:52:04","448","W 37 St & 10 Ave","40.75660359","-73.9979009","449","W 52 St & 9 Ave","40.76461837","-73.98789473","17951","Subscriber","1987","1"
"1352","11/2/2014 10:14:40","11/2/2014 10:37:12","152","Warren St & Church St","40.71473993","-74.00910627","546","E 30 St & Park Ave S","40.74444921","-73.98303529","17347","Subscriber","1967","1"
"1550","11/2/2014 11:08:55","11/2/2014 11:34:45","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","368","Carmine St & 6 Ave","40.73038599","-74.00214988","17000","Customer","","0"
"764","11/2/2014 11:56:32","11/2/2014 12:09:16","233","Joralemon St & Adams St","40.69246277","-73.98963911","313","Washington Ave & Park Ave","40.69610226","-73.96751037","14957","Subscriber","1985","1"
"677","11/2/2014 12:46:09","11/2/2014 12:57:26","241","DeKalb Ave & S Portland Ave","40.68981035","-73.97493121","313","Washington Ave & Park Ave","40.69610226","-73.96751037","18291","Subscriber","1985","1"
"504","11/2/2014 13:32:53","11/2/2014 13:41:17","499","Broadway & W 60 St","40.76915505","-73.98191841","515","W 43 St & 10 Ave","40.76009437","-73.99461843","19038","Subscriber","1980","1"
"363","11/2/2014 14:17:23","11/2/2014 14:23:26","472","E 32 St & Park Ave","40.7457121","-73.98194829","519","Pershing Square North","40.751873","-73.977706","21579","Subscriber","1949","1"
"960","11/2/2014 15:03:16","11/2/2014 15:19:16","512","W 29 St & 9 Ave","40.7500727","-73.99839279","368","Carmine St & 6 Ave","40.73038599","-74.00214988","16455","Subscriber","1979","1"
"516","11/2/2014 15:53:10","11/2/2014 16:01:46","501","FDR Drive & E 35 St","40.744219","-73.97121214","474","5 Ave & E 29 St","40.7451677","-73.98683077","18937","Subscriber","1985","1"
"370","11/2/2014 16:40:35","11/2/2014 16:46:45","433","E 13 St & Avenue A","40.72955361","-73.98057249","285","Broadway & E 14 St","40.73454567","-73.99074142","16463","Subscriber","1992","1"
