tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
801,2/1/2015 0:00,2/1/2015 0:14,521,8 Ave & W 31 St,40.75044999,-73.99481051,423,W 54 St & 9 Ave,40.76584941,-73.98690506,17131,Subscriber,1978,2
249,2/1/2015 10:46,2/1/2015 10:50,270,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,19583,Subscriber,1982,2
560,2/1/2015 12:42,2/1/2015 12:51,473,Rivington St & Chrystie St,40.72110063,-73.9919254,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,16014,Subscriber,1980,1
394,2/1/2015 14:26,2/1/2015 14:32,375,Mercer St & Bleecker St,40.72679454,-73.99695094,247,Perry St & Bleecker St,40.73535398,-74.00483091,19909,Subscriber,1989,1
199,2/1/2015 16:07,2/1/2015 16:10,447,8 Ave & W 52 St,40.76370739,-73.9851615,499,Broadway & W 60 St,40.76915505,-73.98191841,16319,Subscriber,1977,1
889,2/1/2015 17:47,2/1/2015 18:02,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,152,Warren St & Church St,40.71473993,-74.00910627,15756,Subscriber,1976,1
322,2/1/2015 21:22,2/1/2015 21:27,466,W 25 St & 6 Ave,40.74395411,-73.99144871,472,E 32 St & Park Ave,40.7457121,-73.98194829,14972,Subscriber,1989,2
734,2/2/2015 13:17,2/2/2015 13:29,228,E 48 St & 3 Ave,40.7546011,-73.97187886,477,W 41 St & 8 Ave,40.75640548,-73.9900262,18003,Subscriber,1980,2
899,2/3/2015 7:11,2/3/2015 7:26,488,W 39 St & 9 Ave,40.75645824,-73.99372222,463,9 Ave & W 16 St,40.74206539,-74.00443172,19975,Subscriber,1954,1
433,2/3/2015 10:40,2/3/2015 10:47,435,W 21 St & 6 Ave,40.74173969,-73.99415556,509,9 Ave & W 22 St,40.7454973,-74.00197139,18580,Subscriber,1972,2
524,2/3/2015 15:46,2/3/2015 15:55,517,Pershing Square South,40.751581,-73.97791,352,W 56 St & 6 Ave,40.76340613,-73.97722479,15607,Subscriber,1977,1
719,2/3/2015 18:02,2/3/2015 18:14,527,E 33 St & 2 Ave,40.744023,-73.976056,379,W 31 St & 7 Ave,40.749156,-73.9916,20831,Subscriber,1975,1
1347,2/3/2015 20:28,2/3/2015 20:50,498,Broadway & W 32 St,40.74854862,-73.98808416,529,W 42 St & 8 Ave,40.7575699,-73.99098507,15148,Subscriber,1979,1
697,2/4/2015 7:10,2/4/2015 7:21,492,W 33 St & 7 Ave,40.75019995,-73.99093085,545,E 23 St & 1 Ave,40.736502,-73.97809472,16172,Subscriber,1963,1
