Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
1087,2017-02-01 00:00:13,2017-02-01 00:18:20,345,W 13 St & 6 Ave,40.73649403,-73.99704374,305,E 58 St & 3 Ave,40.76095756,-73.96724467,17432,Subscriber,1966,1
992,2017-02-01 06:28:13,2017-02-01 06:44:46,488,W 39 St & 9 Ave,40.75645824,-73.99372222,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,17410,Subscriber,1978,1
126,2017-02-01 07:10:15,2017-02-01 07:12:21,239,Willoughby St & Fleet St,40.69196566,-73.9813018,243,Fulton St & Rockwell Pl,40.688226,-73.979382,27170,Subscriber,1980,1
139,2017-02-01 07:39:44,2017-02-01 07:42:03,439,E 4 St & 2 Ave,40.7262807,-73.98978041,3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,17823,Subscriber,1973,1
151,2017-02-01 07:59:15,2017-02-01 08:01:46,127,Barrow St & Hudson St,40.73172428,-74.00674436,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,25183,Subscriber,1980,1
332,2017-02-01 08:16:12,2017-02-01 08:21:44,3106,Driggs Ave & N Henry St,40.72325,-73.94308,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,17904,Subscriber,1986,1
574,2017-02-01 08:30:24,2017-02-01 08:39:58,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,519,Pershing Square North,40.751873,-73.977706,26049,Subscriber,1966,1
759,2017-02-01 08:42:55,2017-02-01 08:55:35,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,3365,3 St & 7 Ave,40.6703837,-73.97839676,27262,Subscriber,1978,2
917,2017-02-01 08:56:42,2017-02-01 09:12:00,3230,Penn Station Valet,40.751283596962296,-73.99692445993422,253,W 13 St & 5 Ave,40.73543934,-73.99453948,18591,Subscriber,1965,1
594,2017-02-01 09:14:00,2017-02-01 09:23:54,478,11 Ave & W 41 St,40.76030096,-73.99884222,492,W 33 St & 7 Ave,40.75019995,-73.99093085,15543,Subscriber,1978,1
321,2017-02-01 09:35:16,2017-02-01 09:40:38,3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189606,486,Broadway & W 29 St,40.7462009,-73.98855723,14688,Subscriber,1985,1
485,2017-02-01 10:08:13,2017-02-01 10:16:19,465,Broadway & W 41 St,40.75513557,-73.98658032,480,W 53 St & 10 Ave,40.76669671,-73.99061728,25249,Subscriber,1987,1
