Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
528,2016-12-01 00:00:04,2016-12-01 00:08:52,499,Broadway & W 60 St,40.76915505,-73.98191841,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,26931,Subscriber,1964,1
684,2016-12-01 06:23:06,2016-12-01 06:34:31,523,W 38 St & 8 Ave,40.75466591,-73.99138152,285,Broadway & E 14 St,40.73454567,-73.99074142,19581,Subscriber,1969,1
753,2016-12-01 07:00:38,2016-12-01 07:13:12,501,FDR Drive & E 35 St,40.744219,-73.97121214,3134,3 Ave & E 62 St,40.76312584,-73.96526895,25573,Subscriber,1975,1
118,2016-12-01 07:26:51,2016-12-01 07:28:50,363,West Thames St,40.70834698,-74.01713445,3002,South End Ave & Liberty St,40.711512,-74.015756,18120,Subscriber,1971,1
584,2016-12-01 07:44:57,2016-12-01 07:54:41,458,11 Ave & W 27 St,40.751396,-74.005226,358,Christopher St & Greenwich St,40.73291553,-74.00711384,25470,Subscriber,1987,1
742,2016-12-01 08:00:21,2016-12-01 08:12:44,2004,6 Ave & Broome St,40.724399,-74.004704,466,W 25 St & 6 Ave,40.74395411,-73.99144871,23942,Subscriber,1963,1
289,2016-12-01 08:14:13,2016-12-01 08:19:03,507,E 25 St & 2 Ave,40.73912601,-73.97973776,325,E 19 St & 3 Ave,40.73624527,-73.98473765,25421,Subscriber,1965,2
1247,2016-12-01 08:26:57,2016-12-01 08:47:45,3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643188,497,E 17 St & Broadway,40.73704984,-73.99009296,19341,Subscriber,1980,2
240,2016-12-01 08:38:21,2016-12-01 08:42:22,461,E 20 St & 2 Ave,40.73587678,-73.98205027,497,E 17 St & Broadway,40.73704984,-73.99009296,15426,Subscriber,1995,1
379,2016-12-01 08:49:19,2016-12-01 08:55:38,3167,Amsterdam Ave & W 73 St,40.77966809007312,-73.98093044757842,3137,5 Ave & E 73 St,40.77282817,-73.96685276,21160,Subscriber,1967,2
1323,2016-12-01 09:01:47,2016-12-01 09:23:51,525,W 34 St & 11 Ave,40.75594159,-74.0021163,3002,South End Ave & Liberty St,40.711512,-74.015756,15846,Subscriber,1965,1
931,2016-12-01 09:16:38,2016-12-01 09:32:10,501,FDR Drive & E 35 St,40.744219,-73.97121214,440,E 45 St & 3 Ave,40.75255434,-73.97282625,24152,Subscriber,1989,1
1292,2016-12-01 09:35:14,2016-12-01 09:56:46,315,South St & Gouverneur Ln,40.70355377,-74.00670227,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,24974,Subscriber,1971,1
583,2016-12-01 09:57:47,2016-12-01 10:07:30,507,E 25 St & 2 Ave,40.73912601,-73.97973776,486,Broadway & W 29 St,40.7462009,-73.98855723,22004,Subscriber,1988,1
