Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
372,2017-01-03 10:15:50,2017-01-03 10:22:03,377,6 Ave & Canal St,40.72243797,-74.00566443,368,Carmine St & 6 Ave,40.73038599,-74.00214988,20881,Subscriber,1966,1
1001,2017-01-03 13:40:14,2017-01-03 13:56:56,348,W Broadway & Spring St,40.72490985,-74.00154702,430,York St & Jay St,40.7014851,-73.98656928,25551,Subscriber,1953,1
369,2017-01-03 16:31:03,2017-01-03 16:37:12,410,Suffolk St & Stanton St,40.72066442,-73.98517977,3427,Lafayette St & Jersey St,40.72430527250332,-73.99600982666016,25975,Subscriber,1968,1
620,2017-01-03 17:25:14,2017-01-03 17:35:34,3258,W 27 St & 10 Ave,40.75018156325683,-74.00218427181244,368,Carmine St & 6 Ave,40.73038599,-74.00214988,25239,Subscriber,1986,2
461,2017-01-03 18:07:22,2017-01-03 18:15:03,3108,Nassau Ave & Russell St,40.72557,-73.94434,3090,N 8 St & Driggs Ave,40.71774592,-73.95600096,19070,Subscriber,1968,0
229,2017-01-03 18:51:59,2017-01-03 18:55:49,454,E 51 St & 1 Ave,40.75455731,-73.96592976,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,21027,Subscriber,1958,1
577,2017-01-03 19:41:07,2017-01-03 19:50:45,3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,422,W 59 St & 10 Ave,40.770513,-73.988038,15938,Subscriber,1979,2
390,2017-01-03 20:53:02,2017-01-03 20:59:32,3255,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,23545,Subscriber,1988,2
172,2017-01-03 23:45:49,2017-01-03 23:48:41,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,26380,Subscriber,1996,1
137,2017-01-04 06:29:15,2017-01-04 06:31:33,3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,26418,Subscriber,1970,2
846,2017-01-04 07:12:48,2017-01-04 07:26:54,479,9 Ave & W 45 St,40.76019252,-73.9912551,305,E 58 St & 3 Ave,40.76095756,-73.96724467,20782,Subscriber,1986,1
463,2017-01-04 07:41:14,2017-01-04 07:48:58,295,Pike St & E Broadway,40.71406667,-73.99293911,264,Maiden Ln & Pearl St,40.70706456,-74.00731853,20166,Subscriber,1988,2
367,2017-01-04 08:02:30,2017-01-04 08:08:37,301,E 2 St & Avenue B,40.72217444,-73.98368779,439,E 4 St & 2 Ave,40.7262807,-73.98978041,19444,Subscriber,1991,1
481,2017-01-04 08:20:06,2017-01-04 08:28:08,475,E 16 St & Irving Pl,40.73524276,-73.98758561,474,5 Ave & E 29 St,40.7451677,-73.98683077,17218,Subscriber,1958,1
627,2017-01-04 08:35:06,2017-01-04 08:45:33,442,W 27 St & 7 Ave,40.746647,-73.993915,153,E 40 St & 5 Ave,40.752062307,-73.9816324043,18842,Subscriber,1973,2
1396,2017-01-04 08:48:51,2017-01-04 09:12:07,173,Broadway & W 49 St,40.76068327096592,-73.9845272898674,486,Broadway & W 29 St,40.7462009,-73.98855723,25239,,1980,2
568,2017-01-04 09:03:15,2017-01-04 09:12:43,461,E 20 St & 2 Ave,40.73587678,-73.98205027,518,E 39 St & 2 Ave,40.74780373,-73.9734419,21025,Subscriber,1988,1
336,2017-01-04 09:22:18,2017-01-04 09:27:55,546,E 30 St & Park Ave S,40.74444921,-73.98303529,519,Pershing Square North,40.751873,-73.977706,19623,Subscriber,1971,1
3835,2017-01-04 09:47:55,2017-01-04 10:51:51,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,295,Pike St & E Broadway,40.71406667,-73.99293911,23915,,1983,2
455,2017-01-04 10:30:46,2017-01-04 10:38:21,237,E 11 St & 2 Ave,40.73047309,-73.98672378,402,Broadway & E 22 St,40.7403432,-73.98955109,18284,Subscriber,1992,1
490,2017-01-04 11:20:46,2017-01-04 11:28:57,493,W 45 St & 6 Ave,40.7568001,-73.98291153,167,E 39 St & 3 Ave,40.7489006,-73.97604882,26378,Subscriber,1968,2
1530,2017-01-04 12:07:54,2017-01-04 12:33:24,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,20786,Subscriber,1965,1
173,2017-01-04 12:46:39,2017-01-04 12:49:33,446,W 24 St & 7 Ave,40.74487634,-73.99529885,453,W 22 St & 8 Ave,40.74475148,-73.99915362,25570,Subscriber,1970,1
464,2017-01-04 13:23:43,2017-01-04 13:31:28,3233,E 48 St & 5 Ave,40.75724567911726,-73.97805914282799,477,W 41 St & 8 Ave,40.75640548,-73.9900262,17301,Subscriber,1967,1
1243,2017-01-04 14:00:29,2017-01-04 14:21:13,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,3137,5 Ave & E 73 St,40.77282817,-73.96685276,26936,Customer,,0
596,2017-01-04 14:36:49,2017-01-04 14:46:46,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,3235,E 41 St & Madison Ave,40.752165280621966,-73.97992193698882,19673,Subscriber,1967,1
315,2017-01-04 15:10:51,2017-01-04 15:16:07,3431,E 35 St & 3 Ave,40.746524,-73.977885,536,1 Ave & E 30 St,40.74144387,-73.97536082,18742,Subscriber,1990,2
363,2017-01-04 15:43:57,2017-01-04 15:50:00,3435,Grand St & Elizabeth St,40.718822,-73.99596,311,Norfolk St & Broome St,40.7172274,-73.98802084,24343,Subscriber,1981,1
1915,2017-01-04 16:13:38,2017-01-04 16:45:34,3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,456,E 53 St & Madison Ave,40.7597108,-73.97402311,26418,Subscriber,1957,2
675,2017-01-04 16:41:36,2017-01-04 16:52:52,401,Allen St & Rivington St,40.72019576,-73.98997825,2009,Catherine St & Monroe St,40.71117444,-73.99682619,17950,Subscriber,1973,2
729,2017-01-04 17:03:50,2017-01-04 17:15:59,456,E 53 St & Madison Ave,40.7597108,-73.97402311,3173,Riverside Blvd & W 67 St,40.777507027547976,-73.98888587951659,17665,Subscriber,1974,1
1003,2017-01-04 17:20:29,2017-01-04 17:37:12,495,W 47 St & 10 Ave,40.76269882,-73.99301222,497,E 17 St & Broadway,40.73704984,-73.99009296,19797,Subscriber,1966,1
298,2017-01-04 17:36:34,2017-01-04 17:41:33,500,Broadway & W 51 St,40.76228826,-73.98336183,359,E 47 St & Park Ave,40.75510267,-73.97498696,17772,Subscriber,1986,1
267,2017-01-04 17:51:43,2017-01-04 17:56:10,546,E 30 St & Park Ave S,40.74444921,-73.98303529,517,Pershing Square South,40.751581,-73.97791,25824,Subscriber,1976,1
634,2017-01-04 18:07:55,2017-01-04 18:18:30,497,E 17 St & Broadway,40.73704984,-73.99009296,362,Broadway & W 37 St,40.75172632,-73.98753523,15698,Subscriber,1987,1
488,2017-01-04 18:23:38,2017-01-04 18:31:47,379,W 31 St & 7 Ave,40.749156,-73.9916,476,E 31 St & 3 Ave,40.74394314,-73.97966069,25617,Subscriber,1967,1
404,2017-01-04 18:39:47,2017-01-04 18:46:32,527,E 33 St & 2 Ave,40.744023,-73.976056,444,Broadway & W 24 St,40.7423543,-73.98915076,21666,Subscriber,1985,1
184,2017-01-04 19:00:12,2017-01-04 19:03:16,3165,Central Park West & W 72 St,40.77579376683666,-73.9762057363987,3161,W 76 St & Columbus Ave,40.7801839724239,-73.97728532552719,26664,Subscriber,1960,1
574,2017-01-04 19:22:25,2017-01-04 19:32:00,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,3356,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,19354,Subscriber,1981,1
575,2017-01-04 19:52:31,2017-01-04 20:02:07,435,W 21 St & 6 Ave,40.74173969,-73.99415556,545,E 23 St & 1 Ave,40.736502,-73.97809472,25506,Subscriber,1987,1
