"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
254,"2018-11-01 00:00:12.9100","2018-11-01 00:04:27.3870",3522,"37 St & 24 Ave",40.7701477,-73.9120938,3513,"21 St & Hoyt Ave S",40.774645,-73.923706,34117,"Subscriber",1992,1
1929,"2018-11-01 03:05:20.6130","2018-11-01 03:37:29.6600",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,34810,"Subscriber",1975,1
1116,"2018-11-01 06:13:51.6130","2018-11-01 06:32:27.6430",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,388,"W 26 St & 10 Ave",40.749717753,-74.002950346,30986,"Subscriber",1983,1
2027,"2018-11-01 06:47:12.1710","2018-11-01 07:20:59.5890",3177,"W 84 St & Broadway",40.7867947,-73.977112,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,34283,"Subscriber",1973,1
393,"2018-11-01 07:09:44.4760","2018-11-01 07:16:17.4900",519,"Pershing Square North",40.751873,-73.977706,533,"Broadway & W 38 St",40.75299641,-73.98721619,25823,"Subscriber",1986,2
361,"2018-11-01 07:27:59.3560","2018-11-01 07:34:00.5400",419,"Carlton Ave & Park Ave",40.69580705,-73.97355569,243,"Fulton St & Rockwell Pl",40.688226,-73.979382,18567,"Subscriber",1981,2
1983,"2018-11-01 07:41:41.8580","2018-11-01 08:14:44.9870",469,"Broadway & W 53 St",40.76344058,-73.98268129,508,"W 46 St & 11 Ave",40.76341379,-73.99667444,30657,"Customer",1998,1
617,"2018-11-01 07:53:38.8380","2018-11-01 08:03:55.9520",3164,"Columbus Ave & W 72 St",40.7770575,-73.97898475,305,"E 58 St & 3 Ave",40.76095756,-73.96724467,35308,"Subscriber",1988,1
574,"2018-11-01 08:04:31.4440","2018-11-01 08:14:06.0670",358,"Christopher St & Greenwich St",40.73291553,-74.00711384,303,"Mercer St & Spring St",40.72362738,-73.99949601,34015,"Subscriber",1972,1
389,"2018-11-01 08:13:41.1440","2018-11-01 08:20:11.1110",379,"W 31 St & 7 Ave",40.749156,-73.9916,402,"Broadway & E 22 St",40.7403432,-73.98955109,30873,"Subscriber",1978,1
1724,"2018-11-01 08:22:13.8840","2018-11-01 08:50:58.3580",3285,"W 87 St & Amsterdam Ave",40.78839,-73.9747,522,"E 51 St & Lexington Ave",40.75714758,-73.97207836,15982,"Subscriber",1976,2
314,"2018-11-01 08:30:34.0690","2018-11-01 08:35:48.8890",526,"E 33 St & 5 Ave",40.74765947,-73.98490707,442,"W 27 St & 7 Ave",40.746647,-73.993915,16590,"Subscriber",1958,1
180,"2018-11-01 08:38:21.6070","2018-11-01 08:41:22.1110",315,"South St & Gouverneur Ln",40.70355377,-74.00670227,259,"South St & Whitehall St",40.70122128,-74.01234218,31809,"Subscriber",1981,1
1296,"2018-11-01 08:45:42.1710","2018-11-01 09:07:18.8590",484,"W 44 St & 5 Ave",40.75500254,-73.98014437,212,"W 16 St & The High Line",40.74334935,-74.00681753,30647,"Subscriber",1963,1
1556,"2018-11-01 08:53:12.5580","2018-11-01 09:19:09.1700",313,"Washington Ave & Park Ave",40.69610226,-73.96751037,418,"Front St & Gold St",40.70224,-73.982578,31432,"Subscriber",1988,2
464,"2018-11-01 09:02:28.5910","2018-11-01 09:10:12.6400",450,"W 49 St & 8 Ave",40.76227205,-73.98788205,505,"6 Ave & W 33 St",40.74901271,-73.98848395,18535,"Subscriber",1989,1
1245,"2018-11-01 09:11:40.2700","2018-11-01 09:32:25.9680",259,"South St & Whitehall St",40.70122128,-74.01234218,342,"Columbia St & Rivington St",40.71739973,-73.98016555,34971,"Subscriber",1957,2
71,"2018-11-01 09:22:10.7760","2018-11-01 09:23:21.9370",460,"S 4 St & Wythe Ave",40.71285887,-73.96590294,460,"S 4 St & Wythe Ave",40.71285887,-73.96590294,15422,"Subscriber",1983,1
1364,"2018-11-01 09:33:57.4580","2018-11-01 09:56:41.5860",523,"W 38 St & 8 Ave",40.75466591,-73.99138152,405,"Washington St & Gansevoort St",40.739323,-74.008119,19048,"Customer",1969,0
590,"2018-11-01 09:47:50.5340","2018-11-01 09:57:41.0470",128,"MacDougal St & Prince St",40.72710258,-74.00297088,3660,"W 16 St & 8 Ave",40.741021509002664,-74.001384973526,33300,"Subscriber",1992,1
543,"2018-11-01 10:03:50.3050","2018-11-01 10:12:53.7370",3457,"E 58 St & Madison Ave",40.76302594280519,-73.97209525108337,441,"E 52 St & 2 Ave",40.756014,-73.967416,34025,"Subscriber",1956,1
2325,"2018-11-01 10:23:43.0140","2018-11-01 11:02:28.9650",281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,3143,"5 Ave & E 78 St",40.77632142182271,-73.96427392959595,33804,"Customer",1969,0
361,"2018-11-01 10:45:30.3260","2018-11-01 10:51:31.3610",257,"Lispenard St & Broadway",40.71939226,-74.00247214,336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,25999,"Subscriber",1995,1
585,"2018-11-01 11:07:51.5350","2018-11-01 11:17:36.9120",509,"9 Ave & W 22 St",40.7454973,-74.00197139,383,"Greenwich Ave & Charles St",40.735238,-74.000271,18194,"Subscriber",1962,1
