"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"461","2/1/2016 00:00:08","2/1/2016 00:07:49","480","W 53 St & 10 Ave","40.76669671","-73.99061728","524","W 43 St & 6 Ave","40.75527307","-73.98316936","23292","Subscriber","1966","1"
"453","2/1/2016 06:43:08","2/1/2016 06:50:41","489","10 Ave & W 28 St","40.75066386","-74.00176802","444","Broadway & W 24 St","40.7423543","-73.98915076","20532","Subscriber","1962","1"
"228","2/1/2016 07:32:07","2/1/2016 07:35:55","3150","E 85 St & York Ave","40.77536905","-73.94803392","3147","E 85 St & 3 Ave","40.77801203","-73.95407149","18927","Subscriber","1992","1"
"1915","2/1/2016 08:01:22","2/1/2016 08:33:18","254","W 11 St & 6 Ave","40.73532427","-73.99800419","322","Clinton St & Tillary St","40.696192","-73.991218","21555","Subscriber","1966","2"
"1359","2/1/2016 08:24:25","2/1/2016 08:47:05","3173","Riverside Blvd & W 67 St","40.777507027547976","-73.98888587951659","225","W 14 St & The High Line","40.74195138","-74.00803013","17764","Subscriber","1963","1"
"380","2/1/2016 08:42:24","2/1/2016 08:48:44","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","167","E 39 St & 3 Ave","40.7489006","-73.97604882","16614","Subscriber","1960","2"
"500","2/1/2016 09:01:55","2/1/2016 09:10:16","387","Centre St & Chambers St","40.71273266","-74.0046073","327","Vesey Pl & River Terrace","40.7153379","-74.01658354","19362","Subscriber","1979","1"
"508","2/1/2016 09:26:22","2/1/2016 09:34:50","3089","Leonard St & Meeker Ave","40.717318403855785","-73.94820213317871","3104","Kent Ave & N 7 St","40.72057658","-73.96150225","15834","Subscriber","1970","1"
"1486","2/1/2016 10:04:22","2/1/2016 10:29:09","3144","E 81 St & Park Ave","40.77677702","-73.9590097","469","Broadway & W 53 St","40.76344058","-73.98268129","18081","Subscriber","1976","2"
"286","2/1/2016 11:15:20","2/1/2016 11:20:06","297","E 15 St & 3 Ave","40.734232","-73.986923","2003","1 Ave & E 18 St","40.733812191966315","-73.98054420948029","23706","Subscriber","1993","2"
"497","2/1/2016 12:16:27","2/1/2016 12:24:45","435","W 21 St & 6 Ave","40.74173969","-73.99415556","521","8 Ave & W 31 St","40.75096734871598","-73.99444207549095","24066","Subscriber","1962","1"
"357","2/1/2016 13:09:51","2/1/2016 13:15:49","444","Broadway & W 24 St","40.7423543","-73.98915076","494","W 26 St & 8 Ave","40.74734825","-73.99723551","23064","Subscriber","1967","1"
"349","2/1/2016 14:09:35","2/1/2016 14:15:24","498","Broadway & W 32 St","40.74854862","-73.98808416","476","E 31 St & 3 Ave","40.74394314","-73.97966069","24288","Subscriber","1965","2"
"843","2/1/2016 15:01:43","2/1/2016 15:15:47","253","W 13 St & 5 Ave","40.73543934","-73.99453948","477","W 41 St & 8 Ave","40.75640548","-73.9900262","18426","Subscriber","1958","1"
"888","2/1/2016 15:57:04","2/1/2016 16:11:53","2004","6 Ave & Broome St","40.724399","-74.004704","382","University Pl & E 14 St","40.73492695","-73.99200509","19258","Subscriber","1960","1"
"394","2/1/2016 16:57:48","2/1/2016 17:04:23","3143","5 Ave & E 78 St","40.77682863439968","-73.96388769149779","281","Grand Army Plaza & Central Park S","40.7643971","-73.97371465","17904","Subscriber","1970","1"
