"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
88,"2019-04-01 00:00:14.7410","2019-04-01 00:01:42.8900",2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,36515,"Subscriber",1982,1
359,"2019-04-01 06:07:09.0310","2019-04-01 06:13:08.3830",3233,"E 48 St & 5 Ave",40.75724567911726,-73.97805914282799,499,"Broadway & W 60 St",40.76915505,-73.98191841,37373,"Subscriber",1966,1
235,"2019-04-01 06:51:49.6140","2019-04-01 06:55:45.1300",3660,"W 16 St & 8 Ave",40.741021509002664,-74.001384973526,459,"W 20 St & 11 Ave",40.746745,-74.007756,35030,"Subscriber",1991,1
1908,"2019-04-01 07:20:01.9060","2019-04-01 07:51:49.9950",422,"W 59 St & 10 Ave",40.770513,-73.988038,316,"Fulton St & William St",40.70955958,-74.00653609,19959,"Subscriber",1990,1
887,"2019-04-01 07:41:18.9380","2019-04-01 07:56:06.1690",3295,"Central Park W & W 96 St",40.79127,-73.964839,3443,"W 52 St & 6 Ave",40.76132983124814,-73.97982001304626,34911,"Subscriber",1976,1
789,"2019-04-01 07:57:26.9650","2019-04-01 08:10:36.1990",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,379,"W 31 St & 7 Ave",40.749156,-73.9916,15915,"Subscriber",1969,1
647,"2019-04-01 08:12:12.1680","2019-04-01 08:22:59.3500",3236,"W 42 St & Dyer Ave",40.75898481399634,-73.99379968643188,466,"W 25 St & 6 Ave",40.74395411,-73.99144871,32958,"Subscriber",1976,1
1113,"2019-04-01 08:25:10.9960","2019-04-01 08:43:44.9880",448,"W 37 St & 10 Ave",40.75660359,-73.9979009,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,30721,"Subscriber",1991,1
509,"2019-04-01 08:36:38.2010","2019-04-01 08:45:07.3040",304,"Broadway & Battery Pl",40.70463334,-74.01361706,296,"Division St & Bowery",40.71413089,-73.9970468,37488,"Subscriber",1990,1
297,"2019-04-01 08:47:30.2580","2019-04-01 08:52:27.6290",297,"E 15 St & 3 Ave",40.734232,-73.986923,335,"Washington Pl & Broadway",40.72903917,-73.99404649,34174,"Subscriber",1956,2
514,"2019-04-01 08:59:28.4390","2019-04-01 09:08:02.9430",519,"Pershing Square North",40.751873,-73.977706,536,"1 Ave & E 30 St",40.74144387,-73.97536082,31593,"Subscriber",1971,1
97,"2019-04-01 09:13:29.5230","2019-04-01 09:15:06.6060",3092,"Berry St & N 8 St",40.7190095,-73.95852515,3016,"Kent Ave & N 7 St",40.72036775298455,-73.96165072917938,21276,"Subscriber",1985,1
396,"2019-04-01 09:29:27.2810","2019-04-01 09:36:03.4370",3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,402,"Broadway & E 22 St",40.7403432,-73.98955109,14548,"Subscriber",1991,1
246,"2019-04-01 09:48:12.2030","2019-04-01 09:52:18.4080",3711,"E 13 St & Avenue A",40.72966729392978,-73.98067966103554,3656,"E 2 St & Avenue A",40.72307749068673,-73.98583620786667,25418,"Subscriber",1996,1
224,"2019-04-01 10:12:44.5380","2019-04-01 10:16:28.7610",466,"W 25 St & 6 Ave",40.74395411,-73.99144871,482,"W 15 St & 7 Ave",40.73935542,-73.99931783,37764,"Subscriber",1987,1
559,"2019-04-01 10:45:45.8840","2019-04-01 10:55:05.0730",327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,386,"Centre St & Worth St",40.71494807,-74.00234482,37676,"Subscriber",1992,1
2966,"2019-04-01 11:22:14.2650","2019-04-01 12:11:41.0070",309,"Murray St & West St",40.7149787,-74.013012,392,"Jay St & Tech Pl",40.695065,-73.987167,35015,"Customer",1969,0
375,"2019-04-01 11:56:48.1210","2019-04-01 12:03:03.7340",490,"8 Ave & W 33 St",40.751551,-73.993934,2021,"W 45 St & 8 Ave",40.75929124,-73.98859651,28326,"Subscriber",1974,1
295,"2019-04-01 12:25:54.9910","2019-04-01 12:30:50.6940",315,"South St & Gouverneur Ln",40.70355377,-74.00670227,427,"Bus Slip & State St",40.701907,-74.013942,33345,"Customer",1969,0
399,"2019-04-01 12:51:41.7170","2019-04-01 12:58:21.5380",470,"W 20 St & 8 Ave",40.74345335,-74.00004031,267,"Broadway & W 36 St",40.75097711,-73.98765428,36178,"Subscriber",1984,1
219,"2019-04-01 13:20:53.5620","2019-04-01 13:24:33.4090",3641,"Broadway & W 25 St",40.74286877312112,-73.98918628692627,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,36777,"Subscriber",1974,1
218,"2019-04-01 13:47:29.9530","2019-04-01 13:51:08.8900",459,"W 20 St & 11 Ave",40.746745,-74.007756,458,"11 Ave & W 27 St",40.751396,-74.005226,34690,"Subscriber",1980,1
