"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"634","2013-07-01 00:00:00","2013-07-01 00:10:34","164","E 47 St & 2 Ave","40.75323098","-73.97032517","504","1 Ave & E 15 St","40.73221853","-73.98165557","16950","Customer",\N,"0"
"437","2013-07-01 06:54:02","2013-07-01 07:01:19","479","9 Ave & W 45 St","40.76019252","-73.9912551","243","Fulton St & Rockwell Pl","40.687979","-73.978474","16151","Subscriber","1987","1"
"1398","2013-07-01 08:03:38","2013-07-01 08:26:56","157","Henry St & Atlantic Ave","40.69089272","-73.99612349","375","Mercer St & Bleecker St","40.72679454","-73.99695094","15997","Subscriber","1987","1"
"1124","2013-07-01 08:37:40","2013-07-01 08:56:24","496","E 16 St & 5 Ave","40.73726186","-73.99238967","500","Broadway & W 51 St","40.76228826","-73.98336183","17750","Subscriber","1959","2"
"1199","2013-07-01 09:16:59","2013-07-01 09:36:58","432","E 7 St & Avenue A","40.72621788","-73.98379855","466","W 25 St & 6 Ave","40.74395411","-73.99144871","17671","Subscriber","1983","2"
"221","2013-07-01 11:50:21","2013-07-01 11:54:02","475","E 16 St & Irving Pl","40.73524276","-73.98758561","537","Lexington Ave & E 24 St","40.74025878","-73.98409214","16490","Subscriber","1956","1"
"861","2013-07-01 13:59:07","2013-07-01 14:13:28","458","11 Ave & W 27 St","40.751396","-74.005226","465","Broadway & W 41 St","40.75513557","-73.98658032","16067","Subscriber","1982","2"
"403","2013-07-01 15:55:29","2013-07-01 16:02:12","466","W 25 St & 6 Ave","40.74395411","-73.99144871","212","W 16 St & The High Line","40.74334935","-74.00681753","16025","Subscriber","1970","2"
"965","2013-07-01 17:02:22","2013-07-01 17:18:27","2004","6 Ave & Broome St","40.724399","-74.004704","116","W 17 St & 8 Ave","40.74177603","-74.00149746","19485","Subscriber","1954","1"
"384","2013-07-01 17:37:03","2013-07-01 17:43:27","507","E 25 St & 2 Ave","40.73912601","-73.97973776","379","W 31 St & 7 Ave","40.749156","-73.9916","15641","Subscriber","1989","2"
"940","2013-07-01 18:10:13","2013-07-01 18:25:53","153","E 40 St & 5 Ave","40.752062307","-73.9816324043","488","W 39 St & 9 Ave","40.75645824","-73.99372222","19184","Subscriber","1988","1"
"577","2013-07-01 18:39:33","2013-07-01 18:49:10","414","Pearl St & Anchorage Pl","40.70281858","-73.98765762","310","State St & Smith St","40.68926942","-73.98912867","19895","Customer",\N,"0"
"783","2013-07-01 19:10:50","2013-07-01 19:23:53","507","E 25 St & 2 Ave","40.73912601","-73.97973776","482","W 15 St & 7 Ave","40.73935542","-73.99931783","17044","Subscriber","1974","2"
"526","2013-07-01 19:44:16","2013-07-01 19:53:02","412","Forsyth St & Canal St","40.7158155","-73.99422366","368","Carmine St & 6 Ave","40.73038599","-74.00214988","14821","Subscriber","1961","2"
"381","2013-07-01 20:26:38","2013-07-01 20:32:59","485","W 37 St & 5 Ave","40.75038009","-73.98338988","408","Market St & Cherry St","40.71076228","-73.99400398","15042","Subscriber","1987","1"
"405","2013-07-01 21:20:17","2013-07-01 21:27:02","147","Greenwich St & Warren St","40.71542197","-74.01121978","534","Water - Whitehall Plaza","40.70255065","-74.0127234","19493","Subscriber","1975","1"
"275","2013-07-01 22:37:23","2013-07-01 22:41:58","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","347","W Houston St & Hudson St","40.72873888","-74.00748842","18134","Subscriber","1978","1"
"1036","2013-07-02 02:48:55","2013-07-02 03:06:11","334","W 20 St & 7 Ave","40.74238787","-73.99726235","477","W 41 St & 8 Ave","40.75640548","-73.9900262","19388","Subscriber","1970","1"
"864","2013-07-02 07:23:36","2013-07-02 07:38:00","349","Rivington St & Ridge St","40.71850211","-73.98329859","497","E 17 St & Broadway","40.73704984","-73.99009296","17478","Subscriber","1978","2"
"762","2013-07-02 08:07:42","2013-07-02 08:20:24","252","MacDougal St & Washington Sq","40.73226398","-73.99852205","309","Murray St & West St","40.7149787","-74.013012","19679","Subscriber","1986","1"
"860","2013-07-02 08:36:56","2013-07-02 08:51:16","128","MacDougal St & Prince St","40.72710258","-74.00297088","459","W 20 St & 11 Ave","40.746745","-74.007756","18178","Subscriber","1981","1"
"1475","2013-07-02 09:07:55","2013-07-02 09:32:30","295","Pike St & E Broadway","40.71406667","-73.99293911","474","5 Ave & E 29 St","40.7451677","-73.98683077","17920","Subscriber","1978","1"
"1655","2013-07-02 09:52:51","2013-07-02 10:20:26","492","W 33 St & 7 Ave","40.75019995","-73.99093085","375","Mercer St & Bleecker St","40.72679454","-73.99695094","19766","Subscriber","1978","1"
"355","2013-07-02 10:57:01","2013-07-02 11:02:56","116","W 17 St & 8 Ave","40.74177603","-74.00149746","442","W 27 St & 7 Ave","40.746647","-73.993915","19622","Customer",\N,"0"
"570","2013-07-02 12:06:56","2013-07-02 12:16:26","335","Washington Pl & Broadway","40.72903917","-73.99404649","459","W 20 St & 11 Ave","40.746745","-74.007756","17969","Subscriber","1982","1"
"1114","2013-07-02 13:11:17","2013-07-02 13:29:51","458","11 Ave & W 27 St","40.751396","-74.005226","426","West St & Chambers St","40.71754834","-74.01322069","20577","Subscriber","1974","1"
"591","2013-07-02 14:17:04","2013-07-02 14:26:55","439","E 4 St & 2 Ave","40.7262807","-73.98978041","462","W 22 St & 10 Ave","40.74691959","-74.00451887","19076","Subscriber","1988","1"
"360","2013-07-02 15:11:29","2013-07-02 15:17:29","275","Washington Ave & Greene Ave","40.68650065","-73.96563307","324","DeKalb Ave & Hudson Ave","40.689888","-73.981013","18930","Subscriber","1970","1"
"857","2013-07-02 16:03:47","2013-07-02 16:18:04","164","E 47 St & 2 Ave","40.75323098","-73.97032517","540","Lexington Ave & E 26 St","40.74147286","-73.98320928","17783","Customer",\N,"0"
"1900","2013-07-02 16:43:35","2013-07-02 17:15:15","488","W 39 St & 9 Ave","40.75645824","-73.99372222","410","Suffolk St & Stanton St","40.72066442","-73.98517977","16317","Subscriber","1958","1"
"614","2013-07-02 17:11:57","2013-07-02 17:22:11","294","Washington Square E","40.73049393","-73.9957214","320","Church St & Leonard St","40.71743998","-74.00583475","16127","Subscriber","1983","1"
"867","2013-07-02 17:33:53","2013-07-02 17:48:20","490","8 Ave & W 33 St","40.751551","-73.993934","369","Washington Pl & 6 Ave","40.73224119","-74.00026394","19703","Subscriber","1980","2"
"692","2013-07-02 17:55:23","2013-07-02 18:06:55","477","W 41 St & 8 Ave","40.75640548","-73.9900262","519","Pershing Square N","40.75188406","-73.97770164","20299","Subscriber","1954","1"
"1924","2013-07-02 18:15:34","2013-07-02 18:47:38","146","Hudson St & Reade St","40.71625008","-74.0091059","449","W 52 St & 9 Ave","40.76461837","-73.98789473","17827","Subscriber","1987","2"
"1280","2013-07-02 18:36:18","2013-07-02 18:57:38","72","W 52 St & 11 Ave","40.76727216","-73.99392888","495","W 47 St & 10 Ave","40.76269882","-73.99301222","20583","Subscriber","1979","2"
"14042","2013-07-02 18:57:26","2013-07-02 22:51:28","384","Fulton St & Waverly Ave","40.68317813","-73.9659641","384","Fulton St & Waverly Ave","40.68317813","-73.9659641","18433","Customer",\N,"0"
"1701","2013-07-02 19:19:47","2013-07-02 19:48:08","296","Division St & Bowery","40.71413089","-73.9970468","426","West St & Chambers St","40.71754834","-74.01322069","15165","Subscriber","1991","1"
"375","2013-07-02 19:50:45","2013-07-02 19:57:00","229","Great Jones St","40.72743423","-73.99379025","505","6 Ave & W 33 St","40.74901271","-73.98848395","16108","Subscriber","1981","1"
"422","2013-07-02 21:18:56","2013-07-02 21:25:58","433","E 13 St & Avenue A","40.72955361","-73.98057249","403","E 2 St & 2 Ave","40.72502876","-73.99069656","15471","Subscriber","1980","1"
"277","2013-07-02 23:10:55","2013-07-02 23:15:32","432","E 7 St & Avenue A","40.72621788","-73.98379855","411","E 6 St & Avenue D","40.72228087","-73.97668709","19591","Subscriber","1978","1"
"531","2013-07-03 06:11:30","2013-07-03 06:20:21","492","W 33 St & 7 Ave","40.75019995","-73.99093085","456","E 53 St & Madison Ave","40.7597108","-73.97402311","16121","Subscriber","1970","1"
"655","2013-07-03 07:38:33","2013-07-03 07:49:28","488","W 39 St & 9 Ave","40.75645824","-73.99372222","538","W 49 St & 5 Ave","40.75795248","-73.97787642","18133","Subscriber","1984","1"
"955","2013-07-03 08:19:21","2013-07-03 08:35:16","280","E 10 St & 5 Ave","40.73331967","-73.99510132","153","E 40 St & 5 Ave","40.752062307","-73.9816324043","15454","Subscriber","1974","1"
"162","2013-07-03 08:47:40","2013-07-03 08:50:22","294","Washington Square E","40.73049393","-73.9957214","382","University Pl & E 14 St","40.73492695","-73.99200509","16266","Subscriber","1943","1"
"752","2013-07-03 09:17:05","2013-07-03 09:29:37","331","Pike St & Monroe St","40.71173107","-73.99193043","415","Pearl St & Hanover Square","40.7047177","-74.00926027","19766","Subscriber","1978","2"
"6768","2013-07-03 09:57:23","2013-07-03 11:50:11","79","Franklin St & W Broadway","40.71911552","-74.00666661","405","Washington St & Gansevoort St","40.739323","-74.008119","20608","Customer",\N,"0"
"393","2013-07-03 11:00:02","2013-07-03 11:06:35","293","Lafayette St & E 8 St","40.73028666","-73.9907647","401","Allen St & Rivington St","40.72019576","-73.98997825","16826","Subscriber","1953","1"
"1272","2013-07-03 11:59:49","2013-07-03 12:21:01","116","W 17 St & 8 Ave","40.74177603","-74.00149746","361","Allen St & Hester St","40.71605866","-73.99190759","17213","Subscriber","1957","1"
"1442","2013-07-03 12:44:15","2013-07-03 13:08:17","482","W 15 St & 7 Ave","40.73935542","-73.99931783","426","West St & Chambers St","40.71754834","-74.01322069","19801","Customer",\N,"0"
"370","2013-07-03 13:23:15","2013-07-03 13:29:25","448","W 37 St & 10 Ave","40.75660359","-73.9979009","490","8 Ave & W 33 St","40.751551","-73.993934","17850","Customer",\N,"0"
"452","2013-07-03 14:02:47","2013-07-03 14:10:19","79","Franklin St & W Broadway","40.71911552","-74.00666661","368","Carmine St & 6 Ave","40.73038599","-74.00214988","16514","Subscriber","1987","1"
"599","2013-07-03 15:25:40","2013-07-03 15:35:39","403","E 2 St & 2 Ave","40.72502876","-73.99069656","483","E 12 St & 3 Ave","40.73223272","-73.98889957","18397","Subscriber","1953","1"
"1413","2013-07-03 16:02:18","2013-07-03 16:25:51","386","Centre St & Worth St","40.71494807","-74.00234482","398","Atlantic Ave & Furman St","40.69165183","-73.9999786","17508","Subscriber","1976","1"
"1099","2013-07-03 16:34:44","2013-07-03 16:53:03","137","E 56 St & Madison Ave","40.761628","-73.972924","317","E 6 St & Avenue B","40.72453734","-73.98185424","19949","Subscriber","1977","2"
"1085","2013-07-03 17:05:25","2013-07-03 17:23:30","521","8 Ave & W 31 St","40.75044999","-73.99481051","127","Barrow St & Hudson St","40.73172428","-74.00674436","16431","Subscriber","1952","1"
"876","2013-07-03 17:32:23","2013-07-03 17:46:59","490","8 Ave & W 33 St","40.751551","-73.993934","440","E 45 St & 3 Ave","40.75255434","-73.97282625","20159","Subscriber","1987","1"
"565","2013-07-03 17:58:48","2013-07-03 18:08:13","83","Atlantic Ave & Fort Greene Pl","40.68382604","-73.97632328","270","Adelphi St & Myrtle Ave","40.69308257","-73.97178913","17754","Subscriber","1977","1"
"1021","2013-07-03 18:26:12","2013-07-03 18:43:13","501","FDR Drive & E 35 St","40.744219","-73.97121214","504","1 Ave & E 15 St","40.73221853","-73.98165557","14987","Customer",\N,"0"
"359","2013-07-03 19:19:11","2013-07-03 19:25:10","302","Avenue D & E 3 St","40.72082834","-73.97793172","515","W 43 St & 10 Ave","40.76009437","-73.99461843","15265","Subscriber","1987","1"
"790","2013-07-03 20:33:59","2013-07-03 20:47:09","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","326","E 11 St & 1 Ave","40.72953837","-73.98426726","17320","Subscriber","1974","1"
"949","2013-07-03 21:48:36","2013-07-03 22:04:25","446","W 24 St & 7 Ave","40.74487634","-73.99529885","528","2 Ave & E 31 St","40.74290902","-73.97706058","20343","Subscriber","1981","1"
"885","2013-07-03 23:40:12","2013-07-03 23:54:57","346","Bank St & Hudson St","40.73652889","-74.00618026","363","West Thames St","40.70834698","-74.01713445","18343","Subscriber","1963","1"
"191","2013-07-04 04:52:28","2013-07-04 04:55:39","432","E 7 St & Avenue A","40.72621788","-73.98379855","439","E 4 St & 2 Ave","40.7262807","-73.98978041","18933","Subscriber","1983","1"
"774","2013-07-04 09:30:12","2013-07-04 09:43:06","147","Greenwich St & Warren St","40.71542197","-74.01121978","127","Barrow St & Hudson St","40.73172428","-74.00674436","17548","Subscriber","1963","2"
"440","2013-07-04 10:42:22","2013-07-04 10:49:42","516","E 47 St & 1 Ave","40.75206862","-73.96784384","385","E 55 St & 2 Ave","40.75797322","-73.96603308","15511","Subscriber","1967","1"
"187","2013-07-04 11:35:22","2013-07-04 11:38:29","317","E 6 St & Avenue B","40.72453734","-73.98185424","326","E 11 St & 1 Ave","40.72953837","-73.98426726","15198","Subscriber","1973","1"
"1141","2013-07-04 12:16:43","2013-07-04 12:35:44","430","York St & Jay St","40.7014851","-73.98656928","282","Kent Ave & S 11 St","40.70827295","-73.96834101","15617","Customer",\N,"0"
