"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"949","2014-03-01 00:00:16","2014-03-01 00:16:05","317","E 6 St & Avenue B","40.72453734","-73.98185424","284","Greenwich Ave & 8 Ave","40.7390169121","-74.0026376103","17440","Subscriber","1942","1"
"245","2014-03-01 09:45:25","2014-03-01 09:49:30","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","382","University Pl & E 14 St","40.73492695","-73.99200509","20084","Subscriber","1984","1"
"2079","2014-03-01 11:33:58","2014-03-01 12:08:37","438","St Marks Pl & 1 Ave","40.72779126","-73.98564945","281","Grand Army Plaza & Central Park S","40.7643971","-73.97371465","15869","Customer",\N,"0"
"314","2014-03-01 12:53:57","2014-03-01 12:59:11","363","West Thames St","40.70834698","-74.01713445","327","Vesey Pl & River Terrace","40.7153379","-74.01658354","18691","Subscriber","1948","1"
"572","2014-03-01 14:08:40","2014-03-01 14:18:12","479","9 Ave & W 45 St","40.76019252","-73.9912551","435","W 21 St & 6 Ave","40.74173969","-73.99415556","16407","Subscriber","1972","1"
"1036","2014-03-01 15:17:44","2014-03-01 15:35:00","304","Broadway & Battery Pl","40.70463334","-74.01361706","319","Park Pl & Church St","40.71336124","-74.00937622","15158","Customer",\N,"0"
"199","2014-03-01 16:25:30","2014-03-01 16:28:49","502","Henry St & Grand St","40.714215","-73.981346","350","Clinton St & Grand St","40.71559509","-73.9870295","19439","Subscriber","1969","1"
"599","2014-03-01 17:42:35","2014-03-01 17:52:34","493","W 45 St & 6 Ave","40.7568001","-73.98291153","72","W 52 St & 11 Ave","40.76727216","-73.99392888","17362","Subscriber","1976","1"
"840","2014-03-01 19:24:35","2014-03-01 19:38:35","484","W 44 St & 5 Ave","40.75500254","-73.98014437","433","E 13 St & Avenue A","40.72955361","-73.98057249","19304","Subscriber","1988","1"
"514","2014-03-01 23:03:33","2014-03-01 23:12:07","212","W 16 St & The High Line","40.74334935","-74.00681753","496","E 16 St & 5 Ave","40.73726186","-73.99238967","18833","Subscriber","1983","1"
"462","2014-03-02 09:17:00","2014-03-02 09:24:42","326","E 11 St & 1 Ave","40.72953837","-73.98426726","345","W 13 St & 6 Ave","40.73649403","-73.99704374","15508","Subscriber","1980","2"
"171","2014-03-02 11:30:10","2014-03-02 11:33:01","323","Lawrence St & Willoughby St","40.69236178","-73.98631746","428","E 3 St & 1 Ave","40.72467721","-73.98783413","18444","Subscriber","1977","1"
"2250","2014-03-02 12:59:07","2014-03-02 13:36:37","315","South St & Gouverneur Ln","40.70355377","-74.00670227","347","W Houston St & Hudson St","40.72873888","-74.00748842","17390","Subscriber","1961","2"
"593","2014-03-02 14:15:41","2014-03-02 14:25:34","447","8 Ave & W 52 St","40.76370739","-73.9851615","505","6 Ave & W 33 St","40.74901271","-73.98848395","18036","Subscriber","1985","1"
"1353","2014-03-02 15:37:59","2014-03-02 16:00:32","457","Broadway & W 58 St","40.76695317","-73.98169333","457","Broadway & W 58 St","40.76695317","-73.98169333","15205","Customer",\N,"0"
"736","2014-03-02 16:58:58","2014-03-02 17:11:14","446","W 24 St & 7 Ave","40.74487634","-73.99529885","345","W 13 St & 6 Ave","40.73649403","-73.99704374","19680","Subscriber","1989","2"
"810","2014-03-02 18:39:47","2014-03-02 18:53:17","546","E 30 St & Park Ave S","40.74444921","-73.98303529","546","E 30 St & Park Ave S","40.74444921","-73.98303529","21173","Subscriber","1971","2"
"296","2014-03-02 21:37:51","2014-03-02 21:42:47","497","E 17 St & Broadway","40.73704984","-73.99009296","461","E 20 St & 2 Ave","40.73587678","-73.98205027","16460","Subscriber","1982","1"
"298","2014-03-03 07:52:15","2014-03-03 07:57:13","546","E 30 St & Park Ave S","40.74444921","-73.98303529","519","E 42 St & Vanderbilt Ave","40.752416","-73.97837","15493","Subscriber","1983","1"
"1462","2014-03-03 09:26:08","2014-03-03 09:50:30","471","Grand St & Havemeyer St","40.71286844","-73.95698119","293","Lafayette St & E 8 St","40.73028666","-73.9907647","16053","Subscriber","1990","2"
"539","2014-03-03 12:39:14","2014-03-03 12:48:13","519","E 42 St & Vanderbilt Ave","40.752416","-73.97837","285","Broadway & E 14 St","40.73454567","-73.99074142","15209","Subscriber","1956","1"
"399","2014-03-03 15:46:05","2014-03-03 15:52:44","444","Broadway & W 24 St","40.7423543","-73.98915076","545","E 23 St & 1 Ave","40.736502","-73.97809472","19530","Subscriber","1974","1"
"146","2014-03-03 17:30:34","2014-03-03 17:33:00","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","488","W 39 St & 9 Ave","40.75645824","-73.99372222","21241","Subscriber","1986","1"
"293","2014-03-03 18:29:45","2014-03-03 18:34:38","2021","W 45 St & 8 Ave","40.75929124","-73.98859651","493","W 45 St & 6 Ave","40.7568001","-73.98291153","18969","Subscriber","1974","1"
"365","2014-03-03 19:51:39","2014-03-03 19:57:44","510","W 51 St & 6 Ave","40.7606597","-73.98042047","479","9 Ave & W 45 St","40.76019252","-73.9912551","19177","Subscriber","1979","1"
"643","2014-03-03 23:30:24","2014-03-03 23:41:07","459","W 20 St & 11 Ave","40.746745","-74.007756","492","W 33 St & 7 Ave","40.75019995","-73.99093085","16394","Subscriber","1984","1"
"585","2014-03-04 07:59:44","2014-03-04 08:09:29","250","Lafayette St & Jersey St","40.72456089","-73.99565293","237","E 11 St & 2 Ave","40.73047309","-73.98672378","19372","Subscriber","1987","2"
"723","2014-03-04 09:01:40","2014-03-04 09:13:43","368","Carmine St & 6 Ave","40.73038599","-74.00214988","486","Broadway & W 29 St","40.7462009","-73.98855723","18566","Subscriber","1971","1"
"1671","2014-03-04 10:39:46","2014-03-04 11:07:37","355","Bayard St & Baxter St","40.71602118","-73.99974372","474","5 Ave & E 29 St","40.7451677","-73.98683077","20831","Subscriber","1962","1"
"648","2014-03-04 13:17:09","2014-03-04 13:27:57","473","Rivington St & Chrystie St","40.72110063","-73.9919254","265","Stanton St & Chrystie St","40.72229346","-73.99147535","17441","Subscriber","1988","1"
"347","2014-03-04 15:27:53","2014-03-04 15:33:40","380","W 4 St & 7 Ave S","40.73401143","-74.00293877","405","Washington St & Gansevoort St","40.739323","-74.008119","15067","Subscriber","1963","1"
"991","2014-03-04 17:02:52","2014-03-04 17:19:23","483","E 12 St & 3 Ave","40.73223272","-73.98889957","356","Bialystoker Pl & Delancey St","40.71622644","-73.98261206","17204","Subscriber","1961","2"
