"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT13","WT13_ATTRIBUTES","WT14","WT14_ATTRIBUTES","WT16","WT16_ATTRIBUTES","WT18","WT18_ATTRIBUTES","WT19","WT19_ATTRIBUTES","WT22","WT22_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-08","13.65",",,X",,,"1.15",",,X,2400","6.3",",,X,","0.0",",,X,",,,"34",",,X","27",",,X",,,"   70",",,X","   80",",,X","25.1",",,X","36.9",",,X","    1",",,X","    1",",,X",,,,,,,,,,,,,"    1",",,X","    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-09","8.50",",,X",,,"0.38",",,X,2400","5.1",",,X,","11.0",",,Z,",,,"32",",,X","21",",,X",,,"  320",",,X","  310",",,X","17.9",",,X","31.1",",,X",,,"    1",",,X",,,,,,,"    1",",,X",,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-10","3.13",",,X",,,"0.00",",,X,2400","0.0",",,X,","10.0",",,X,",,,"36",",,X","18",",,X",,,"  310",",,X","  330",",,X","13.0",",,X","19.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-11","3.58",",,X",,,"0.49",",,X,2400","0.0",",,X,","9.0",",,X,",,,"45",",,X","34",",,X",,,"  310",",,X","  170",",,X","10.1",",,X","17.9",",,X","    1",",,X",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-12","8.50",",,X",,,"0.00",",,X,2400","0.0",",,X,","4.0",",,X,",,,"44",",,X","36",",,X",,,"  290",",,X","  300",",,X","17.0",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-13","3.36",",,X",,,"0.03",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"44",",,X","33",",,X",,,"   40",",,X","   40",",,X","12.1",",,X","17.9",",,X","    1",",,W",,,,,,,,,,,"    1",",,X",,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-14","4.03",",,X",,,"0.00","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"46",",,X","33",",,X",,,"   30",",,X","  250",",,X","13.0",",,X","17.9",",,X","    1",",,W",,,,,,,,,,,,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-15","6.04",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"55",",,X","37",",,X",,,"  310",",,X","  300",",,X","16.1",",,X","23.9",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-16","7.16",",,X",,,"0.02",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"41",",,X","31",",,X",,,"   10",",,X","   20",",,X","15.0",",,X","25.1",",,X","    1",",,W",,,,,,,,,,,,,,,"    1",",,X","    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-17","12.30",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"32",",,X","18",",,X",,,"  310",",,X","  320",",,X","25.1",",,X","40.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-18","8.28",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"35",",,X","17",",,X",,,"  290",",,X","  290",",,X","17.0",",,X","31.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-19","6.71",",,X",,,"0.15",",,X,2400","0.0",",,X,","0.0",",,X,",,,"49",",,X","33",",,X",,,"  290",",,X","  290",",,X","17.9",",,X","28.0",",,X","    1",",,W",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-20","12.08",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"38",",,X","25",",,X",,,"  290",",,X","  280",",,X","21.9",",,X","34.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-21","10.07",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"34",",,X","24",",,X",,,"  310",",,X","  270",",,X","21.0",",,X","32.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-22","7.16",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"38",",,X","25",",,X",,,"   40",",,X","   40",",,X","16.1",",,X","23.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-23","8.95",",,X",,,"0.26",",,X,2400","0.0",",,X,","0.0",",,X,",,,"42",",,X","36",",,X",,,"   60",",,X","   70",",,X","21.0",",,X","30.0",",,X","    1",",,W",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-24","7.16",",,X",,,"0.01",",,X,2400","0.0",",,X,","0.0",",,X,",,,"47",",,X","34",",,X",,,"  310",",,X","  320",",,X","17.0",",,X","32.0",",,X","    1",",,W",,,,,,,,,,,"    1",",,X","    1",",,X",,,,,"    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-25","4.70",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"45",",,X","32",",,X",,,"  310",",,X","   20",",,X","12.1",",,X","17.9",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-26","7.61",",,X",,,"0.14",",,X,2400","0.0",",,X,","0.0",",,X,",,,"44",",,X","35",",,X",,,"   70",",,X","   80",",,X","19.9",",,X","28.0",",,X",,,,,,,,,,,"    1",",,X","    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-27","11.18",",,X",,,"1.56",",,X,2400","0.0",",,X,","0.0",",,X,",,,"47",",,X","36",",,X",,,"   70",",,X","   50",",,X","23.9",",,X","36.9",",,X","    1",",,W",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-02-28","4.47",",,X",,,"0.00","T,,X,2400","0.0",",,X,","0.0",",,X,",,,"51",",,X","39",",,X",,,"  290",",,X","  280",",,X","12.1",",,X","19.0",",,X",,,,,,,,,,,,,,,,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-01","5.37",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"45",",,X","36",",,X",,,"  310",",,X","  300",",,X","15.0",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-02","7.61",",,X",,,"0.00","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"40",",,X","31",",,X",,,"  310",",,X","  300",",,X","13.0",",,X","19.0",",,X",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-03","7.61",",,X",,,"0.00","T,,X,2400","0.0","T,,X,","0.0",",,X,",,,"40",",,X","29",",,X",,,"  310",",,X","  310",",,X","16.1",",,X","25.1",",,X",,,,,,,,,,,"    1",",,W",,,,,,,"    1",",,X",,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-04","10.29",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"42",",,X","27",",,X",,,"  310",",,X","  310",",,X","17.9",",,X","29.1",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-05","7.16",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"49",",,X","31",",,X",,,"  310",",,X","  310",",,X","15.0",",,X","25.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-06","15.43",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"42",",,X","38",",,X",,,"   60",",,X","   50",",,X","30.0",",,X","46.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-07","10.07",",,X",,,"0.19",",,X,2400","0.0","T,,X,","0.0",",,X,",,,"38",",,X","33",",,X",,,"   40",",,X","   50",",,X","25.9",",,X","36.9",",,X",,,,,,,,,,,,,"    1",",,X",,,,,"    1",",,X","    1",",,X",,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-08","7.61",",,X",,,"0.54",",,X,2400","4.0",",,X,","2.0",",,X,",,,"42",",,X","31",",,X",,,"   30",",,X","   20",",,X","17.0",",,X","27.1",",,X","    1",",,X","    1",",,X",,,,,,,,,,,,,,,"    1",",,X",,,"    1",",,X"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-09","6.04",",,X",,,"0.00",",,X,2400","0.0",",,X,","2.0",",,X,",,,"55",",,X","35",",,X",,,"  340",",,X","   50",",,X","16.1",",,X","23.0",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-10","4.70",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"50",",,X","36",",,X",,,"  160",",,X","  170",",,X","13.0",",,X","16.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-11","6.49",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"54",",,X","40",",,X",,,"  180",",,X","  180",",,X","16.1",",,X","23.9",",,X",,,,,,,,,,,"    1",",,X",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-12","8.05",",,X",,,"0.79",",,X,2400","0.0",",,X,","0.0",",,X,",,,"57",",,X","43",",,X",,,"  190",",,X","  180",",,X","19.9",",,X","36.9",",,X","    1",",,W",,,,,,,,,,,"    1",",,X",,,"    1",",,X",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-13","6.26",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"52",",,X","38",",,X",,,"  280",",,X","  280",",,X","17.0",",,X","27.1",",,X",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2013-03-14","11.41",",,X",,,"0.00",",,X,2400","0.0",",,X,","0.0",",,X,",,,"41",",,X","29",",,X",,,"  280",",,X","  320",",,Z","21.0",",,X","34.9",",,Z",,,,,,,,,,,,,,,,,,,,,,,,
